Drug,BCS_class,Tanimoto_sim,In_domain
Loperamide,4,1.0,True
Glipizide,4,1.0,True
Triamcinolone Acetonide,4,1.0,True
Chlorthalidone,4,1.0,True
Etoposide,4,1.0,True
Mercaptopurine,4,1.0,True
Azathioprine,4,1.0,True
Furosemide,4,1.0,True
Cefdinir,4,0.7941176,False
Acetazolamide,4,1.0,True
Saquinavir Methanesulfonate,4,0.34166667,False
Cefixime,4,1.0,True
Clarithromycin,4,1.0,True
Linezolid,4,0.38709676,False
Nelfinavir,4,0.29,False
Cephalexin,4,1.0,True
Mesalamine,4,1.0,True
Chlorothiazide,4,0.6511628,False
Digoxin,1,1.0,True
Flecainide,1,0.3243243,False
Warfarin,1,1.0,True
Amitriptyline Hydrochloride,1,1.0,True
Imipramine,1,1.0,True
Verapamil Hydrochloride,1,1.0,True
Sertraline Hydrochloride,1,1.0,True
Finasteride,1,1.0,True
Montelukast Sodium,1,0.22916667,False
Doxazosin Mesylate,1,1.0,True
Terbinafine Hydrochloride,1,1.0,True
Valproic Acid,1,1.0,True
Fosinopril,1,0.4,False
Promethazine Hydrochloride,1,1.0,True
Carbidopa,1,1.0,True
Levodopa,1,1.0,True
Isoniazid,1,1.0,True
Albuterol Sulfate,1,1.0,True
Pyrazinamide,1,1.0,True
Atropine Sulfate,1,1.0,True
Nitroglycerin,1,1.0,True
Ethinylestradiol,1,1.0,True
Codeine Monohydrate,1,1.0,True
Codeine,1,1.0,True
Caffeine,1,1.0,True
Captopril,1,1.0,True
Levetiracetam,1,0.5,False
Niacin,1,1.0,True
Chlorpheniramine Maleate,1,1.0,True
Dexamethasone,1,1.0,True
Metoclopramide Hydrochloride,1,1.0,True
Amoxicillin,1,1.0,True
Morphine Hydrochloride,1,1.0,True
Cetirizine Hydrochloride,1,1.0,True
Morphine,1,1.0,True
Fexofenadine,1,0.8039216,False
Losartan Potassium,1,1.0,True
Clindamycin,1,1.0,True
Isosorbide Dinitrate,1,1.0,True
Clomiphene Citrate,1,1.0,True
Levamisole,1,1.0,True
Acetylsalicylic Acid,1,1.0,True
Doxycycline,1,1.0,True
Levofloxacin,1,1.0,True
Clomipramine,1,1.0,True
Quinine Bisulfate Heptahydrate,1,1.0,True
Lamivudine,1,0.61702126,False
Clavulanic Acid,1,1.0,True
Methylprednisolone,2,1.0,True
Dapsone,2,1.0,True
Indinavir Sulfate,2,0.30081302,False
Trimethoprim,2,1.0,True
Ritonavir,2,0.3119266,False
Griseofulvin,2,1.0,True
Azithromycin,2,1.0,True
Dutasteride,2,0.6376812,False
Isradipine,2,0.46666667,False
Dronabinol,2,1.0,True
Dicyclomine Hydrochloride,2,1.0,True
Carisoprodol,2,1.0,True
Nabumetone,2,1.0,True
Ivermectin,2,0.69298244,False
Glyburide,2,1.0,True
Haloperidol,2,1.0,True
Clofazimine,2,1.0,True
Mebendazole,2,0.8181818,False
Vitamin A,2,1.0,True
Pyrantel Pamoate,2,1.0,True
Albendazole,2,1.0,True
Chlorpromazine Hydrochloride,2,1.0,True
Lopinavir,2,0.41935483,False
Mefloquine,2,0.32258064,False
Triclabendazole,2,0.4883721,False
Diloxanide Furoate,2,0.5,False
Niclosamide,2,1.0,True
Sulfadiazine,2,1.0,True
Calcitriol,2,1.0,True
Modafinil,2,0.45714286,False
Progesterone,2,1.0,True
Oxcarbazepine,2,0.61764705,False
Sulfasalazine,2,1.0,True
Meloxicam,2,1.0,True
Tadalafil,2,0.28235295,False
Efavirenz,2,0.3114754,False
Erythromycin Stearate,3,0.86206895,False
Ciprofloxacin,3,1.0,True
Nystatin,3,0.87058824,False
Acyclovir,3,1.0,True
